Product Name,EPA Number,Default Rate,Rate Unit
ACCORD XL HERBICIDE-RANGER PRO,EPA#524517,,
LESCO THREE-WAY SELECTIVE HERBICIDE,EPA#10404-43,,
HM-1604 HERBICIDE- ON DECK,EPA#5905-643,0.74,oz
BARRICADE 4 FL HERBICIDE- RESOLUTE,EPA#100-1139,,
LESCO PROSECUTOR PRO NON-SELECTIVE HERBICIDE,EPA#524-536-10404,,
ROUNDUP QUICKPRO HERBICIDE,EPA#524-701,,
LESCO CROSSCHECK PLUS MULTI-INSECTICIDE,EPA#10404-120,,
TALSTAR 10WP INSECTICIDE/MITICIDE,EPA#101563-231,,
BIFEN 7.9 SC INSECTICIDE-TALAK,EPA#91234-145,,
EAGLE 20EW FUNGICIDE,EPA#62719-463,,
EH4-1427 HERBICIDE- Q4,EPA#2217-886,,
SNAPSHOP 2.5 TG,EPA#62719-175,0.75,oz
FREEHAND 1.75G HERBICIDE,EPA#7969-273,,
16-0-0 PRO-MATE BARRICADE .435% PLUS FERTILIZER,EPA#5905-536,4.5,lb
